{105, 1, {0, 0, 0.13955005630511627}}
{106, 1, {0, 0, 0.1395646978064486}}
{107, 92, {(2*Pi)/5, Pi/15, 1.4231880500063367}}
{108, 66, {(4*Pi)/15, Pi/3, 3.031555950765625}}
{109, 51, {Pi/5, Pi/3, 2.444671042055505}}
{110, 80, {Pi/3, (4*Pi)/15, 3.114486139179096}}
{111, 27, {Pi/15, (11*Pi)/15, 4.140508529296112}}
{112, 71, {(4*Pi)/15, (2*Pi)/3, 3.531423386693047}}
{113, 92, {(2*Pi)/5, Pi/15, 1.4231880571302853}}
{114, 1, {0, 0, 0.1395562643845291}}
{115, 1, {0, 0, 0.13955296083421215}}
{116, 92, {(2*Pi)/5, Pi/15, 1.423127185291405}}
{117, 90, {Pi/3, (14*Pi)/15, 1.7371574573104722}}
{118, 1, {0, 0, 0.13957423966138946}}
{119, 1, {0, 0, 0.1395592578697484}}
{120, 56, {Pi/5, (2*Pi)/3, 3.936458754528934}}
{121, 1, {0, 0, 0.13955764895580836}}
{122, 1, {0, 0, 0.13956637830131388}}
{123, 1, {0, 0, 0.13958143526676012}}
{124, 1, {0, 0, 0.13956406859422052}}
{125, 80, {Pi/3, (4*Pi)/15, 2.0876390357045644}}
{126, 1, {0, 0, 0.13956587882963423}}
{127, 110, {(7*Pi)/15, (4*Pi)/15, 3.6743101677879966}}
{128, 1, {0, 0, 0.13957710668230583}}
{129, 1, {0, 0, 0.13956025179164827}}
{130, 1, {0, 0, 0.1395655104232191}}
{131, 1, {0, 0, 0.1395655104232203}}
{132, 1, {0, 0, 0.13956025179164908}}
{133, 1, {0, 0, 0.13957710668230658}}
{134, 110, {(7*Pi)/15, (4*Pi)/15, 3.674310167788002}}
{135, 1, {0, 0, 0.13956587882963456}}
{136, 80, {Pi/3, (4*Pi)/15, 2.0876390357045627}}
{137, 1, {0, 0, 0.13956406859422224}}
{138, 1, {0, 0, 0.13958143526675953}}
{139, 1, {0, 0, 0.13956637830131244}}
{140, 1, {0, 0, 0.1395576489558091}}
{141, 56, {Pi/5, (2*Pi)/3, 3.9364587545289345}}
{142, 1, {0, 0, 0.13955925786975015}}
{143, 1, {0, 0, 0.13957423966138924}}
{144, 90, {Pi/3, (14*Pi)/15, 1.737157457310474}}
{145, 92, {(2*Pi)/5, Pi/15, 1.4231271852914056}}
{146, 1, {0, 0, 0.1395529608342111}}
{147, 1, {0, 0, 0.1395562643845275}}
{148, 92, {(2*Pi)/5, Pi/15, 1.4231880571302844}}
{149, 71, {(4*Pi)/15, (2*Pi)/3, 3.531423386693047}}
{150, 27, {Pi/15, (11*Pi)/15, 4.140508529296113}}
{151, 80, {Pi/3, (4*Pi)/15, 3.114486139179094}}
{152, 51, {Pi/5, Pi/3, 2.4446710420555076}}
{153, 66, {(4*Pi)/15, Pi/3, 3.031555950765622}}
{154, 92, {(2*Pi)/5, Pi/15, 1.423188050006335}}
{155, 1, {0, 0, 0.13956469780644742}}
{156, 1, {0, 0, 0.13955005630511558}}
{157, 105, {(2*Pi)/5, (14*Pi)/15, 2.699887445416961}}
{158, 1, {0, 0, 0.13956938937471952}}
{159, 1, {0, 0, 0.1395849641777378}}
{160, 44, {(2*Pi)/15, (13*Pi)/15, 1.8483894156826075}}
{161, 1, {0, 0, 0.13956320430120428}}
{162, 1, {0, 0, 0.13956249151855946}}
{163, 69, {(4*Pi)/15, (8*Pi)/15, 2.4533328725585535}}
{164, 1, {0, 0, 0.13957891581255824}}
{165, 1, {0, 0, 0.13956928468948565}}
{166, 1, {0, 0, 0.1395525785340566}}
{167, 1, {0, 0, 0.1395629518754305}}
{168, 29, {Pi/15, (13*Pi)/15, 3.1907982258797123}}
{169, 1, {0, 0, 0.139563154359494}}
{170, 81, {Pi/3, Pi/3, 3.015264007401673}}
{171, 1, {0, 0, 0.1395621704546768}}
{172, 1, {0, 0, 0.13956474214388395}}
{173, 1, {0, 0, 0.1395547329965655}}
{174, 1, {0, 0, 0.1395728982072434}}
{175, 72, {(4*Pi)/15, (11*Pi)/15, 2.445291572353387}}
{176, 1, {0, 0, 0.13956777978931562}}
{177, 1, {0, 0, 0.13956298112151716}}
{178, 90, {Pi/3, (14*Pi)/15, 1.7371783334137063}}
{179, 1, {0, 0, 0.13956497566269255}}
{180, 1, {0, 0, 0.13957706785996618}}
{181, 20, {Pi/15, (4*Pi)/15, 2.6994651881667004}}
{182, 1, {0, 0, 0.1395652151087488}}
{183, 1, {0, 0, 0.13958063405821114}}
{184, 92, {(2*Pi)/5, Pi/15, 1.423122289640369}}
{185, 86, {Pi/3, (2*Pi)/3, 2.8023498842947716}}
{186, 40, {(2*Pi)/15, (3*Pi)/5, 2.618210608493331}}
{187, 5, {0, (4*Pi)/15, 3.4647987521801054}}
{188, 118, {(7*Pi)/15, (4*Pi)/5, 3.482809331866565}}
{189, 103, {(2*Pi)/5, (4*Pi)/5, 2.4162577630105857}}
{190, 28, {Pi/15, (4*Pi)/5, 2.5048800850007455}}
{191, 20, {Pi/15, (4*Pi)/15, 2.833015633660265}}
{192, 43, {(2*Pi)/15, (4*Pi)/5, 2.740203462439608}}
{193, 1, {0, 0, 0.13957268983348653}}
{194, 1, {0, 0, 0.13956073909835226}}
{195, 1, {0, 0, 0.13956757660350674}}
{196, 84, {Pi/3, (8*Pi)/15, 2.674130404434398}}
{197, 1, {0, 0, 0.13956487512733315}}
{198, 1, {0, 0, 0.13956225573466044}}
{199, 117, {(7*Pi)/15, (11*Pi)/15, 2.858924464553814}}
{200, 1, {0, 0, 0.1395590641495023}}
{201, 1, {0, 0, 0.13956214658079377}}
{202, 90, {Pi/3, (14*Pi)/15, 2.4702189162452974}}
{203, 1, {0, 0, 0.13957032650184906}}
{204, 1, {0, 0, 0.13956005427696133}}
{205, 70, {(4*Pi)/15, (3*Pi)/5, 2.4011743514406185}}
{206, 1, {0, 0, 0.1395687059443949}}
{207, 1, {0, 0, 0.13956166259389965}}
{208, 44, {(2*Pi)/15, (13*Pi)/15, 2.9974783901602478}}
{209, 1, {0, 0, 0.13956333054961273}}
{210, 1, {0, 0, 0.13956225573466213}}
{211, 29, {Pi/15, (13*Pi)/15, 2.4691610076396135}}
{212, 1, {0, 0, 0.13956870033587734}}
{213, 1, {0, 0, 0.1395638763887974}}
{214, 1, {0, 0, 0.13956230214598933}}
{215, 90, {Pi/3, (14*Pi)/15, 3.647691948914688}}
{216, 20, {Pi/15, (4*Pi)/15, 3.2589305289014265}}
{217, 85, {Pi/3, (3*Pi)/5, 2.5392997467491107}}
{218, 72, {(4*Pi)/15, (11*Pi)/15, 2.4212165897162237}}
{219, 117, {(7*Pi)/15, (11*Pi)/15, 3.491051613675333}}
{220, 44, {(2*Pi)/15, (13*Pi)/15, 4.237643026800167}}
{221, 44, {(2*Pi)/15, (13*Pi)/15, 2.5159706690143255}}
{222, 29, {Pi/15, (13*Pi)/15, 2.4862430225512635}}
{223, 87, {Pi/3, (11*Pi)/15, 2.591981409801046}}
{224, 55, {Pi/5, (3*Pi)/5, 2.4136033235340246}}
{225, 117, {(7*Pi)/15, (11*Pi)/15, 3.821341380892209}}
{226, 1, {0, 0, 0.13956214558763855}}
{227, 1, {0, 0, 0.13956288641082568}}
{228, 1, {0, 0, 0.13957064935696764}}
{229, 57, {Pi/5, (11*Pi)/15, 2.4508909565864587}}
{230, 69, {(4*Pi)/15, (8*Pi)/15, 2.4351190614680536}}
{231, 1, {0, 0, 0.1395647421438847}}
{232, 1, {0, 0, 0.13955943843266191}}
{233, 1, {0, 0, 0.1395701313626103}}
{234, 57, {Pi/5, (11*Pi)/15, 2.4509036283040087}}
{235, 104, {(2*Pi)/5, (13*Pi)/15, 2.471448227437413}}
{236, 1, {0, 0, 0.13956928468948368}}
{237, 1, {0, 0, 0.13955436800921123}}
{238, 1, {0, 0, 0.1395662303314579}}
{239, 118, {(7*Pi)/15, (4*Pi)/5, 4.237070626647447}}
{240, 5, {0, (4*Pi)/15, 2.438389047855589}}
{241, 20, {Pi/15, (4*Pi)/15, 2.5957918298351452}}
{242, 39, {(2*Pi)/15, (8*Pi)/15, 2.3199760305832715}}
{243, 85, {Pi/3, (3*Pi)/5, 2.703959762169764}}
{244, 5, {0, (4*Pi)/15, 3.5881408591773165}}
{245, 21, {Pi/15, Pi/3, 4.257572631494487}}
{246, 96, {(2*Pi)/5, Pi/3, 2.8777740026665493}}
{247, 84, {Pi/3, (8*Pi)/15, 2.6313691717272274}}
{248, 29, {Pi/15, (13*Pi)/15, 3.559830420775307}}
